Variable,Importancia
energy_efficiency,0.22039361952224398
traffic_efficiency_ratio,0.10847575887698026
priority_index,0.0900772624074287
network_traffic,0.06963150455767428
efficiency_per_cpu,0.06663828566351149
task_priority_medium,0.06627665356538108
waiting_pressure_index,0.04108241996685485
cpu_usage,0.03661487131906632
num_executed_instructions,0.032279973853363265
execution_time,0.030811736831414128
memory_usage,0.03024982282194129
power_consumption,0.029291607455350074
io_energy_ratio,0.029259193061561436
cpu_memory_balance,0.029211635631277714
hour,0.027655376408602782
day,0.02752218860387703
task_priority_low,0.027263443574888198
task_type_network,0.013956109079263219
task_status_running,0.010771694583773387
status_ratio,0.003843922848290097
task_status_waiting,0.0035613573708476723
task_type_io,0.002720708173623158
io_vs_network_ratio,0.0024108538227856635
month,0.0
